"activity_main","","","","","","","","","","","","","","","","活动开启时不允许调时间","","","","","",""
"id","type","manifest","atlas","icon","name","description_big","description","activity_center_tag_type","is_list","is_msg_box","msg_box_rank","date_type","start_week","start_day","start_time","end_day","interval","priority","display_date","scope_type","iap_package_group_id",""
"activity_roulette_6","roulette","Activity","Activity","icon_event_dish_of_wheel","activity_roulette_name","activity_roulette_description","activity_roulette_description","activity_center_tag_hot","1","1","1","2","11","2","","3","9999","30100","1","1","iap_package_roulette_group_6_1,iap_package_roulette_group_6_2,iap_package_roulette_group_6_3,iap_package_roulette_group_6_4,iap_package_roulette_group_6_5,iap_package_roulette_group_6_6","轮盘6"
"activity_roulette_7","roulette","Activity","Activity","icon_event_dish_of_wheel","activity_roulette_name","activity_roulette_description","activity_roulette_description","activity_center_tag_hot","1","1","1","2","13","2","","3","9999","30100","1","1","iap_package_roulette_group_7_1,iap_package_roulette_group_7_2,iap_package_roulette_group_7_3,iap_package_roulette_group_7_4,iap_package_roulette_group_7_5,iap_package_roulette_group_7_6","轮盘7"
"activity_roulette_8","roulette","Activity","Activity","icon_event_dish_of_wheel","activity_roulette_name","activity_roulette_description","activity_roulette_description","activity_center_tag_hot","1","1","1","2","15","2","","3","1","30100","1","1","iap_package_roulette_group_8_1,iap_package_roulette_group_8_2,iap_package_roulette_group_8_3,iap_package_roulette_group_8_4,iap_package_roulette_group_8_5,iap_package_roulette_group_8_6","轮盘8"
"activity_roulette_9","roulette","Activity","Activity","icon_event_dish_of_wheel","activity_roulette_name","activity_roulette_description","activity_roulette_description","activity_center_tag_hot","1","1","1","2","17","2","","3","1","30100","1","1","iap_package_roulette_group_9_1,iap_package_roulette_group_9_2,iap_package_roulette_group_9_3,iap_package_roulette_group_9_4,iap_package_roulette_group_9_5,iap_package_roulette_group_9_6","轮盘9"
"activity_roulette_hound","roulette","Activity","Activity","icon_event_dish_of_wheel","activity_roulette_name","activity_roulette_description","activity_roulette_description","activity_center_tag_hot","1","1","1","2","13","2","","3","1","30100","1","1","iap_package_roulette_group_hound_1,iap_package_roulette_group_hound_2,iap_package_roulette_group_hound_3,iap_package_roulette_group_hound_4,iap_package_roulette_group_hound_5,iap_package_roulette_group_hound_6","轮盘猎犬"
"activity_roulette_bision","roulette","Activity","Activity","icon_event_dish_of_wheel","activity_roulette_name","activity_roulette_description","activity_roulette_description","activity_center_tag_hot","1","1","1","2","15","2","","3","1","30100","1","1","iap_package_roulette_group_bision_1,iap_package_roulette_group_bision_2,iap_package_roulette_group_bision_3,iap_package_roulette_group_bision_4,iap_package_roulette_group_bision_5,iap_package_roulette_group_bision_6","轮盘野牛"
"activity_roulette_wolverine","roulette","Activity","Activity","icon_event_dish_of_wheel","activity_roulette_name","activity_roulette_description","activity_roulette_description","activity_center_tag_hot","1","1","1","2","17","2","","3","1","30100","1","1","iap_package_roulette_group_wolverine_1,iap_package_roulette_group_wolverine_2,iap_package_roulette_group_wolverine_3,iap_package_roulette_group_wolverine_4,iap_package_roulette_group_wolverine_5,iap_package_roulette_group_wolverine_6","轮盘狼獾"
"event_zombie_hunter_1","zombie_hunter","Activity","Activity","icon_event_02","id_zombie_hunter_track_title","id_zombie_hunter_track_coordinates_fight","id_event_time_task_kill_monsters_to_captain","activity_center_tag_hot","1","1","3","1","","3","","5","99999","30200","1","1","","丧尸猎人(第一次,5天)"
"event_zombie_hunter_2","zombie_hunter","Activity","Activity","icon_event_02","id_zombie_hunter_track_title","id_zombie_hunter_track_coordinates_fight","id_event_time_task_kill_monsters_to_captain","activity_center_tag_hot","1","1","1","2","2","2","","3","1","30200","1","1","","丧尸猎人(常驻,3天)"
"alliance_rally_challenge_1","alliance_rally_challenge","Activity","Activity","icon_event_alliance_kill_monster_lv_up","id_activity_zombie_hunter_preview_name","id_activity_zombie_hunter_preview_des","id_activity_zombie_hunter_preview_des","activity_center_tag_hot","1","1","1","2","3","2","","3","1","30300","1","1","","联盟集结挑战"
"event_world_boss_1","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","99","1","","世界boss1"
"event_world_boss_2_0","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","0","1","","世界boss2-0天"
"event_world_boss_2_1","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","1","1","","世界boss2-1天"
"event_world_boss_2_2","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","2","1","","世界boss2-2天"
"event_world_boss_2_3","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","3","1","","世界boss2-3天"
"event_world_boss_2_4","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","4","1","","世界boss2-4天"
"event_world_boss_2_5","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","5","1","","世界boss2-5天"
"event_world_boss_2_6","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","6","1","","世界boss2-6天"
"event_world_boss_3","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","3","1","","世界boss3"
"event_world_boss_4","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","3","1","","世界boss4"
"event_world_boss_5","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","3","1","","世界boss5"
"event_world_boss_6","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","3","1","","世界boss6"
"event_world_boss_7","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","3","1","","世界boss7"
"event_world_boss_8","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","3","1","","世界boss8"
"event_world_boss_9","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","3","1","","世界boss9"
"event_world_boss_10","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","3","1","","世界boss10"
"event_world_boss_11","world_boss","Activity","Activity","icon_event_world_boss_enter","event_world_boss_name","event_world_boss_list_des","event_world_boss_login_des","activity_center_tag_hot","1","1","1","2","","1","","4","1","30350","3","1","","世界boss11"
"activity_server_quest","server_quest","Activity","Activity","icon_event_server_quest","id_state_campaign_uppercase","id_complete_state_campaign_short_intro","id_complete_state_campaign_together","activity_center_tag_hot","1","1","1","1","1","1","","52","99999","30400","2","1","","里程碑"
"activity_base_level_quest_1","base_level","Activity","Activity","icon_event_levelup_activity","id_event_name_survival_road","id_upgrade_command_for_rewards_short","id_upgrade_command_for_rewards_long","activity_center_tag_hot","1","1","1","5","","1","","7","99999","30500","0","2","","主堡升级1(开服七天)"
"activity_base_level_quest_2","base_level","Activity","Activity","icon_event_levelup_activity","id_event_name_survival_road","id_upgrade_command_for_rewards_short","id_upgrade_command_for_rewards_long","activity_center_tag_hot","1","1","1","5","","8","","60","99999","30500","0","2","","主堡升级2"
"activity_short_term_goal_main_15","short_term_goal","Activity","Activity","icon_event_short_goal_gorilla","event_glory_past_get_points_task_name_7","event_glory_past_get_points_task_description_4","event_glory_past_get_points_task_description_4","activity_center_tag_hot","1","1","1","2","9999","5","","2","9999","30600","0","1","iap_package_event_gorilla","短期目标-巨猩强化1"
"activity_short_term_goal_main_16","short_term_goal","Activity","Activity","icon_event_short_goal_gorilla","event_glory_past_get_points_task_name_7","event_glory_past_get_points_task_description_4","event_glory_past_get_points_task_description_4","activity_center_tag_hot","1","1","1","2","9999","7","","2","9999","30600","0","1","iap_package_event_gorilla","短期目标-巨猩强化2"
"activity_short_term_goal_main_27","short_term_goal","Activity","Activity","icon_event_short_goal_train","event_glory_past_get_points_task_name_11","event_glory_past_get_points_task_description_6","event_glory_past_get_points_task_description_6","activity_center_tag_hot","1","1","1","2","9999","5","","2","9999","30600","0","1","","短期目标-战力提升"
"activity_short_term_goal_main_32","short_term_goal","Activity","Activity","icon_event_short_goal_gorilla","event_glory_past_get_points_task_name_7","event_glory_past_get_points_task_description_4","event_glory_past_get_points_task_description_4","activity_center_tag_hot","1","1","1","2","9999","5","","2","9999","30600","0","1","iap_package_event_gorilla","短期目标-巨猩强化2"
"activity_short_term_goal_main_33","short_term_goal","Activity","Activity","icon_event_short_goal_gorilla","event_glory_past_get_points_task_name_7","event_glory_past_get_points_task_description_4","event_glory_past_get_points_task_description_4","activity_center_tag_hot","1","1","1","2","9999","3","","2","9999","30600","0","1","iap_package_event_gorilla","短期目标-巨猩强化1"
"activity_short_term_goal_main_36","short_term_goal","Activity","Activity","icon_event_short_goal_build","event_glory_past_get_points_task_name_2","event_glory_past_get_points_task_description_4","event_glory_past_get_points_task_description_4","activity_center_tag_hot","1","1","1","2","9999","1","","2","1","30600","0","1","iap_package_goldevent_construction","短期目标-基地繁荣(建造加速)"
"activity_short_term_goal_main_6","short_term_goal","Activity","Activity","icon_event_short_goal_build","event_glory_past_get_points_task_name_2","event_glory_past_get_points_task_description_2","event_glory_past_get_points_task_description_2","activity_center_tag_hot","1","1","1","2","2","2","","2","9999","30600","0","1","iap_package_goldevent_construction","短期目标-基地繁荣(建造战力)"
"activity_short_term_goal_main_7","short_term_goal","Activity","Activity","icon_event_short_goal_train","event_glory_past_get_points_task_name_11","event_glory_past_get_points_task_description_6","event_glory_past_get_points_task_description_6","activity_center_tag_hot","1","1","1","2","2","4","","2","9999","30600","0","1","","短期目标-战力提升"
"activity_short_term_goal_main_9","short_term_goal","Activity","Activity","icon_event_short_goal_monster","event_glory_past_get_points_task_name_3","event_glory_past_get_points_task_description_9","event_glory_past_get_points_task_description_9","activity_center_tag_hot","1","1","1","2","9999","7","","2","9999","30600","0","1","","短期目标-清除威胁(杀怪)"
"activity_short_term_goal_main_10","short_term_goal","Activity","Activity","icon_event_short_goal_build","event_glory_past_get_points_task_name_2","event_glory_past_get_points_task_description_4","event_glory_past_get_points_task_description_4","activity_center_tag_hot","1","1","1","2","4","2","","2","9999","30600","0","1","iap_package_goldevent_construction","短期目标-基地繁荣(建造加速)"
"activity_short_term_goal_main_11","short_term_goal","Activity","Activity","icon_event_short_goal_research","event_glory_past_get_points_task_name_6","event_glory_past_get_points_task_description_2","event_glory_past_get_points_task_description_2","activity_center_tag_hot","1","1","1","2","4","4","","2","9999","30600","0","1","","短期目标-研究科技"
"activity_short_term_goal_main_12","short_term_goal","Activity","Activity","icon_event_short_goal_kill","event_glory_past_get_points_task_name_5","event_glory_past_get_points_task_description_6","event_glory_past_get_points_task_description_6","activity_center_tag_hot","1","1","1","2","2","6","","2","9999","30600","1","1","iap_package_equipment_goldevent","短期目标-击杀士兵(100碎片)"
"activity_short_term_goal_main_17","short_term_goal","Activity","Activity","icon_event_short_goal_monster","event_glory_past_get_points_task_name_3","event_glory_past_get_points_task_description_9","event_glory_past_get_points_task_description_9","activity_center_tag_hot","1","1","1","1","","4","","3","9999","30600","0","1","","短期目标-清除威胁"
"activity_short_term_goal_main_18","short_term_goal","Activity","Activity","icon_event_short_goal_gorilla","event_glory_past_get_points_task_name_7","event_glory_past_get_points_task_description_4","event_glory_past_get_points_task_description_4","activity_center_tag_hot","1","1","1","2","3","5","","2","9999","30600","0","1","iap_package_event_gorilla","短期目标-巨猩强化1"
"activity_short_term_goal_main_19","short_term_goal","Activity","Activity","icon_event_short_goal_gorilla","event_glory_past_get_points_task_name_7","event_glory_past_get_points_task_description_4","event_glory_past_get_points_task_description_4","activity_center_tag_hot","1","1","1","1","","10","","2","9999","30600","0","1","iap_package_event_gorilla","短期目标-巨猩强化2"
"activity_short_term_goal_main_20","short_term_goal","Activity","Activity","icon_event_short_goal_monster","event_glory_past_get_points_task_name_3","event_glory_past_get_points_task_description_9","event_glory_past_get_points_task_description_9","activity_center_tag_hot","1","1","1","2","9999","2","","2","9999","30600","0","1","","短期目标-清除威胁"
"activity_short_term_goal_main_21","short_term_goal","Activity","Activity","icon_event_short_goal_build","event_glory_past_get_points_task_name_2","event_glory_past_get_points_task_description_2","event_glory_past_get_points_task_description_2","activity_center_tag_hot","1","1","1","2","6","1","","2","1","30600","0","1","iap_package_goldevent_construction","短期目标-基地繁荣(建造战力)"
"activity_short_term_goal_main_22","short_term_goal","Activity","Activity","icon_event_short_goal_gorilla","event_glory_past_get_points_task_name_7","event_glory_past_get_points_task_description_4","event_glory_past_get_points_task_description_4","activity_center_tag_hot","1","1","1","2","6","3","","2","9999","30600","0","1","iap_package_event_gorilla","短期目标-巨猩强化"
"activity_short_term_goal_main_23","short_term_goal","Activity","Activity","icon_event_short_goal_research","event_glory_past_get_points_task_name_6","event_glory_past_get_points_task_description_2","event_glory_past_get_points_task_description_2","activity_center_tag_hot","1","1","1","2","6","5","","2","9999","30600","0","1","","短期目标-研究科技"
"activity_short_term_goal_main_24","short_term_goal","Activity","Activity","icon_event_short_goal_hero","event_glory_past_get_points_task_name_9","event_glory_past_get_points_task_description_7","event_glory_past_get_points_task_description_7","activity_center_tag_hot","1","1","1","2","9999","7","","2","9999","30600","0","1","","短期目标-晋升英雄"
"activity_short_term_goal_main_25","short_term_goal","Activity","Activity","icon_event_short_goal_kill","event_glory_past_get_points_task_name_5","event_glory_past_get_points_task_description_6","event_glory_past_get_points_task_description_6","activity_center_tag_hot","1","1","1","2","5","6","","2","1","30600","1","1","iap_package_equipment_goldevent","短期目标-击杀士兵(100碎片)"
"activity_short_term_goal_main_26","short_term_goal","Activity","Activity","icon_event_short_goal_kill","event_glory_past_get_points_task_name_5","event_glory_past_get_points_task_description_6","event_glory_past_get_points_task_description_6","activity_center_tag_hot","1","1","1","2","4","6","","2","9999","30600","1","1","iap_package_equipment_goldevent","短期目标-击杀士兵(第1期50碎片)"
"activity_short_term_goal_main_29","short_term_goal","Activity","Activity","icon_event_short_goal_equip","event_glory_past_get_points_task_name_8","event_glory_past_get_points_task_description_8","event_glory_past_get_points_task_description_8","activity_center_tag_hot","1","1","1","2","10","5","","2","1","30600","0","1","iap_package_equipment_goldevent","短期目标-强化装备"
"activity_short_term_goal_main_31","short_term_goal","Activity","Activity","icon_event_short_goal_research","event_glory_past_get_points_task_name_6","event_glory_past_get_points_task_description_2","event_glory_past_get_points_task_description_2","activity_center_tag_hot","1","1","1","2","8","5","","2","9999","30600","0","1","","短期目标-研究科技"
"activity_short_term_goal_main_34","short_term_goal","Activity","Activity","icon_event_ short_term_goals_assembly","event_short_term_goal_gem_title","event_short_term_goal_gem_des","event_short_term_goal_gem_des","activity_center_tag_hot","1","1","1","2","10","3","","2","1","30600","0","1","iap_package_gem_goldevent","短期目标-组件"
"activity_short_term_goal_main_35","short_term_goal","Activity","Activity","icon_event_short_goal_hero","event_glory_past_get_points_task_name_9","event_glory_past_get_points_task_description_7","event_glory_past_get_points_task_description_7","activity_center_tag_hot","1","1","1","2","6","7","","2","9999","30600","0","1","","短期目标-晋升英雄"
"activity_short_term_goal_main_early_research","short_term_goal","Activity","Activity","icon_event_short_goal_research","event_glory_past_get_points_task_name_6","event_glory_past_get_points_task_description_2","event_glory_past_get_points_task_description_2","activity_center_tag_hot","1","1","1","2","","","","3","","30600","1","1","","前期-研究"
"activity_short_term_goal_main_early_train","short_term_goal","Activity","Activity","icon_event_short_goal_train","event_glory_past_get_points_task_name_4","event_glory_past_get_points_task_description_4","event_glory_past_get_points_task_description_4","activity_center_tag_hot","1","1","1","2","","","","2","","30600","1","1","","前期-训练"
"activity_short_term_goal_main_early_hero","short_term_goal","Activity","Activity","icon_event_short_goal_hero","event_glory_past_get_points_task_name_9","event_glory_past_get_points_task_description_7","event_glory_past_get_points_task_description_7","activity_center_tag_hot","1","1","1","2","","","","2","","30600","1","1","","前期-英雄"
"activity_short_term_goal_main_unking_research","short_term_goal","Activity","Activity","icon_event_short_goal_research","event_glory_past_get_points_task_name_6","event_glory_past_get_points_task_description_2","event_glory_past_get_points_task_description_2","activity_center_tag_hot","1","1","1","2","","","","2","","30600","1","1","","非王战周-研究"
"activity_short_term_goal_main_unking_train","short_term_goal","Activity","Activity","icon_event_short_goal_train","event_glory_past_get_points_task_name_4","event_glory_past_get_points_task_description_4","event_glory_past_get_points_task_description_4","activity_center_tag_hot","1","1","1","2","","","","2","","30600","1","1","","非王战周-训练"
"activity_short_term_goal_main_unking_monster","short_term_goal","Activity","Activity","icon_event_short_goal_monster","event_glory_past_get_points_task_name_3","event_glory_past_get_points_task_description_9","event_glory_past_get_points_task_description_9","activity_center_tag_hot","1","1","1","2","","","","2","","30600","1","1","","非王战周-打怪"
"activity_short_term_goal_main_unking_research_loop","short_term_goal","Activity","Activity","icon_event_short_goal_research","event_glory_past_get_points_task_name_6","event_glory_past_get_points_task_description_2","event_glory_past_get_points_task_description_2","activity_center_tag_hot","1","1","1","2","","","","2","","30600","1","1","","非王战周-研究(循环)"
"activity_short_term_goal_main_unking_train_loop","short_term_goal","Activity","Activity","icon_event_short_goal_train","event_glory_past_get_points_task_name_4","event_glory_past_get_points_task_description_4","event_glory_past_get_points_task_description_4","activity_center_tag_hot","1","1","1","2","","","","2","","30600","1","1","","非王战周-训练(循环)"
"activity_short_term_goal_main_unking_monster_loop","short_term_goal","Activity","Activity","icon_event_short_goal_monster","event_glory_past_get_points_task_name_3","event_glory_past_get_points_task_description_9","event_glory_past_get_points_task_description_9","activity_center_tag_hot","1","1","1","2","","","","2","","30600","1","1","","非王战周-打怪(循环)"
"battle_pass_1","battle_pass_1","Activity","Activity","icon_event_battlepass_gorilla","id_valor_event_name_1","id_valor_event_description_1","id_valor_event_description_1","activity_center_tag_hot","1","1","1","1","","2","","14","99999","30700","1","1","","第1次battlepass(加特林)"
"battle_pass_2","battle_pass_1","Activity","Activity","icon_event_battlepass_gorilla","id_valor_event_name_1","id_valor_event_description_1","id_valor_event_description_1","activity_center_tag_hot","1","1","1","2","3","1","","14","99999","30700","1","1","","第2次battlepass(加特林)"
"battle_pass_3","battle_pass_1","Activity","Activity","icon_event_battlepass_gorilla","id_valor_event_name_1","id_valor_event_description_1","id_valor_event_description_1","activity_center_tag_hot","1","1","1","2","5","1","","14","99999","30700","1","1","","第3次battlepass(加特林)"
"battle_pass_4","battle_pass_1","Activity","Activity","icon_event_battlepass_gorilla","id_valor_event_name_1","id_valor_event_description_1","id_valor_event_description_1","activity_center_tag_hot","1","1","1","2","7","1","","14","1","30700","1","1","","第4次battlepass(加特林)"
"battle_pass_5","battle_pass_1","Activity","Activity","icon_event_battlepass_gorilla","id_valor_event_name_1","id_valor_event_description_1","id_valor_event_description_1","activity_center_tag_hot","1","1","1","2","7","1","","14","1","30700","1","1","","第5次battlepass(橄榄球男)"
"battle_pass_6","battle_pass_1","Activity","Activity","icon_event_battlepass_gorilla","id_valor_event_name_1","id_valor_event_description_1","id_valor_event_description_1","activity_center_tag_hot","1","1","1","2","7","1","","14","1","30700","1","1","","第6次battlepass(橄榄球男)"
"battle_pass_7","battle_pass_1","Activity","Activity","icon_event_battlepass_gorilla","id_valor_event_name_1","id_valor_event_description_1","id_valor_event_description_1","activity_center_tag_hot","1","1","1","2","7","1","","14","1","30700","1","1","","第7次battlepass(橄榄球男)"
"battle_pass_8","battle_pass_1","Activity","Activity","icon_event_battlepass_gorilla","id_valor_event_name_1","id_valor_event_description_1","id_valor_event_description_1","activity_center_tag_hot","1","1","1","2","7","1","","14","1","30700","1","1","","第8次battlepass(喷子女)"
"event_alliance_boss","alliance_boss","Activity","Activity","icon_event_hunting_square","alliance_portal_uppercase_name","event_portal_challenge_description","0","activity_center_tag_hot","1","0","99","1","0","1","","999","99999","30800","14","1","","联盟boss"
"event_fallen_knight_1","fallen_knight","Activity","Activity","icon_event_zombies_attack","event_scrolling_fallen_knight_event_name","event_fallen_knight_description","event_fallen_knight_long_description","activity_center_tag_classic","1","1","1","2","1","2","","2","1","50100","1","1","","黑骑士周二周三"
"event_fallen_knight_2","fallen_knight","Activity","Activity","icon_event_zombies_attack","event_scrolling_fallen_knight_event_name","event_fallen_knight_description","event_fallen_knight_long_description","activity_center_tag_classic","1","1","1","2","1","4","","2","1","50100","1","1","","黑骑士周四周五"
"community_1","community","Activity","Activity","icon_activity_community","id_activity_community_title","id_activity_community_des","id_activity_community_des","activity_center_tag_classic","1","0","1","1","","1","","999","99999","59900","0","1","","社群"
"iap_top_up_lottery_main_1","top_up_lottery","Activity","Activity","icon_lottery_range_target","event_lucky_shot_event_name_lowercase","event_lucky_shot_event_description_big","event_lucky_shot_event_description","","1","1","1","3","9999","7","","","","","","","","打靶1"
"iap_top_up_lottery_main_2","top_up_lottery","Activity","Activity","icon_lottery_range_target","event_lucky_shot_event_name_lowercase","event_lucky_shot_event_description_big","event_lucky_shot_event_description","","1","1","1","3","9999","7","","","","","","","","打靶2"
"iap_top_up_lottery_main_3","top_up_lottery","Activity","Activity","icon_lottery_range_target","event_lucky_shot_event_name_lowercase","event_lucky_shot_event_description_big","event_lucky_shot_event_description","","1","1","1","3","9999","7","","","","","","","","打靶3"
"optional_lord_equip_group_1","optional_gift","Activity","Activity","","optional_type_1_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","指挥官装备"
"optional_lord_gem_group","optional_gift","Activity","Activity","","optional_type_3_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","装备组件"
"optional_gorilla_group_1","optional_gift","Activity","Activity","","optional_type_2_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","猩猩1"
"optional_gorilla_group_2","optional_gift","Activity","Activity","","optional_type_2_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","猩猩2"
"free_gorilla_group_3","optional_gift","Activity","Activity","","optional_type_6_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","猩猩自订3"
"free_exclusive_group_2","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","专属自订2"
"free_lord_gem_group_3","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","组件自订3"
"free_exclusive_group_1","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","2","2","","6","9999","","0","1","","专属自订1"
"free_exclusive_group_7_1","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","4","1","","3","9999","","0","1","","废土之王自订"
"free_exclusive_group_7_2","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","4","4","","3","9999","","0","1","","废土之王自订"
"free_exclusive_group_7_3","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","6","1","","3","9999","","0","1","","废土之王自订"
"free_exclusive_group_7_4","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","6","4","","3","9999","","0","1","","废土之王自订"
"free_exclusive_group_7_5","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","8","1","","3","9999","","0","1","","废土之王自订"
"free_exclusive_group_7_6","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","8","4","","3","9999","","0","1","","废土之王自订"
"free_exclusive_group_4","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","10","1","","2","1","","0","1","","专属自订4"
"free_lord_gem_group_2","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订2"
"optional_lord_equip_group_2","optional_gift","Activity","Activity","","optional_type_1_tag_name","","","","0","0","0","2","10","5","","2","1","","0","1","","指挥官装备2"
"free_exclusive_group_7_7","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","11","1","","3","1","","0","1","","废土之王自订"
"free_lord_gem_group_1","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","11","4","","1","1","","0","1","","组件自订1"
"free_gorilla_group_1_1","optional_gift","Activity","Activity","","optional_type_6_tag_name","","","","0","0","0","2","11","5","","2","9999","","0","1","","猩猩自订1"
"free_gorilla_group_1_2","optional_gift","Activity","Activity","","optional_type_6_tag_name","","","","0","0","0","2","13","5","","2","9999","","0","1","","猩猩自订1"
"free_gorilla_group_2","optional_gift","Activity","Activity","","optional_type_6_tag_name","","","","0","0","0","2","15","5","","2","1","","0","1","","猩猩自订2"
"free_exclusive_group_8","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","","","2","15","5","","2","1","","0","1","","专属自订，荣耀徽章"
"optional_lord_equip_group_6zhe_1","optional_gift","Activity","Activity","","optional_type_1_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（半自选）指挥官装备6折_1"
"optional_lord_equip_group_6zhe_2","optional_gift","Activity","Activity","","optional_type_1_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（半自选）指挥官装备6折_2"
"optional_lord_equip_group_6zhe_3","optional_gift","Activity","Activity","","optional_type_1_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（半自选）指挥官装备6折_3"
"optional_lord_equip_group_6zhe_4","optional_gift","Activity","Activity","","optional_type_1_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（半自选）指挥官装备6折_4"
"optional_lord_equip_group_4zhe_1","optional_gift","Activity","Activity","","optional_type_1_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（半自选）指挥官装备4折_1"
"optional_lord_equip_group_4zhe_2","optional_gift","Activity","Activity","","optional_type_1_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（半自选）指挥官装备4折_2"
"optional_lord_equip_group_4zhe_3","optional_gift","Activity","Activity","","optional_type_1_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（半自选）指挥官装备4折_3"
"optional_lord_equip_group_4zhe_4","optional_gift","Activity","Activity","","optional_type_1_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（半自选）指挥官装备4折_4"
"optional_lord_equip_group_4zhe_5","optional_gift","Activity","Activity","","optional_type_1_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（半自选）指挥官装备4折_5"
"optional_lord_equip_group_4zhe_6","optional_gift","Activity","Activity","","optional_type_1_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（半自选）指挥官装备4折_6"
